Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/11/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45180Cluster=Aseer CL2,Rule Name=Opt Clusters",3056.64,10.825,7.791,99.085,95.6233,0.6806,0.7389,98.3555,98.3397,95.624,0.0076,0,13.2821,96.5841,97.7922,96.9063,83.97,98.6236,98.9056
9/11/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45180Cluster=Aseer CL1,Rule Name=Opt Clusters",1606.09,7.2055,4.4383,99.4085,98.6316,0.4969,0.4589,98.5719,98.6186,95.574,0.1281,0,4.8706,96.0827,97.4405,96.1828,9.71,99.9821,99.9805
9/11/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45180Cluster=Aseer CL3,Rule Name=Opt Clusters",2069.84,11.4258,8.7282,99.2599,103.4626,1.0285,0.6103,96.1451,98.7066,96.7742,1.0962,0,1.7674,97.4691,97.522,97.7113,3.44,97.8304,98.0384
9/11/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45180Cluster=Aseer CL4,Rule Name=Opt Clusters",4248.24,11.8233,8.0724,99.4389,109.088,1.0365,0.4156,97.6855,99.1573,96.7994,0.3275,0,1.0834,99.3007,96.6151,98.5677,58.29,99.7098,99.7178
9/11/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45180Cluster=Najran CL1,Rule Name=Opt Clusters",4535.98,18.2954,11.0611,99.6536,101.7606,0.5062,0.252,95.4055,93.8265,97.1118,0.1485,0,1.727,98.8548,98.2137,98.5351,33.58,99.7984,99.7903
9/11/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45180Cluster=Najran CL2,Rule Name=Opt Clusters",912.33,8.7947,4.0439,99.3109,120.401,1.008,0.587,90.9355,89.7667,97.4912,0.001,0,1.3756,98.5639,97.5676,97.5597,3.94,99.2442,99.9124
9/11/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45180Cluster=Jizan CL1,Rule Name=Opt Clusters",10322.68,14.2894,9.4162,99.5868,110.9712,0.6999,0.2315,95.548,95.34,95.4512,0.0363,0.0089,2.3476,99.1774,97.9981,98.0154,499.07,98.8671,98.6806
9/11/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45180Cluster=Jizan CL2,Rule Name=Opt Clusters",9794.43,18.8832,11.4649,99.4475,99.6299,0.5316,0.4471,96.5002,96.7278,94.8238,0.2269,0.0004,0.8799,98.4207,96.925,98.1166,287.53,98.4685,98.505
9/11/2023,Aseer Province,45180Aseer Province,10765.54,41.5563,29.0761,99.2599,100.0634,0.8189,0.588,98.1478,98.7209,96.4387,0.381,0,5.2953,97.1975,97.3748,97.3038,155.42,99.0412,99.145
9/11/2023,Jazan Province,45180Jazan Province,20067.66,32.7163,20.7349,99.5071,104.7104,0.6145,0.3504,96.0206,96.0277,95.2121,0.1397,0.0045,1.6071,98.7568,97.4617,98.0709,786.6,98.7153,98.6463
9/11/2023,Najran Province,45180Najran Province,5713.05,27.2698,15.2051,99.5945,106.2476,0.6034,0.3076,93.2752,93.1771,97.1269,0.1195,0,1.6433,98.9606,98.0563,98.3844,37.52,99.6863,99.8185
9/12/2023,Abha,45181Abha,881.81,4.1909,2.5767,99.6415,95.7821,0.2475,0.2474,98.9039,98.2714,90.6639,0.0133,0,5.0409,96.5164,96.7573,96.599,0.03,99.9827,99.9808
