Date,LTE Cell Group,Integrity,DL_Traffic_Volum_GB,UL_Traffic_Volume_GB,Avg_Users,DL_Throughput_MB/sec,UL_Throughput_MB/sec,DL_User_Throughput_MB/Sec,UL_User_Throughput_MB/sec,RRC Success Rate (Service),RRC Success Rate (Signaling),ERAB_Success_Rate,Failures Thrp License,Failures User License,Service Drop-Rate,ERAB_Abnrml_TNL,CSFB Success Rate%,Flash CSFB Prec,Avg_CQI,DL_Avg_MCS,UL_Avg_MCS,QPSK Ratio(%),16QAM Ratio(%),64QAM Ratio(%),DL_Retrans_Rate,UL_Retrans_Rate,DL IBLER(%),UL IBLER(%),UL_MAC_BLER,DL_MAC_BLER,RACH_Success_Rate,Avg_Interference(dBm),System_Outage(s),DL_PRB_Utilization,Handover Execution Success Rate (all)(%),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s),Service Drops MME,RACH Contention,RACH Non Contention,HO Exec Failures,HO Prep Failures(times),Pcell Traffic,Scell Traffic,Scell Users,3CC Users %(%),4CC Traffic,4CC Users %(%),4CC Traffic %,5CC Traffic,5CC Users %,5CC Traffic %
9/10/2023,Sabya,45179Sabya,43771.7732,3266.5475,6072.6571,30.423,4.5626,14.3067,3.5409,99.9572,99.7745,99.6377,0,0,0.1753,10,99.8245,99.5087,9.9714,16.1475,23.8431,24.8958,35.024,40.0802,13.3955,19.6095,11.6357,13.6963,0.2575,0.0739,71.3064,-115.9728,8180,34.5963,99.8525,99.9997,99.67,99.9999,18610.6814,6916.3905,39.5975,15.801,1951.3295,31.8784,33.1993,0.0551,99.7488,99.6319,23.8414,30.423,4.5626,99.9791,36437800,20760,68.0392,91.7656,2317,9,12293.7007,7886.0097,3287.9204,0.1237,2655.1816,0.0501,6.066,33.0765,0.0016,0.0756
9/10/2023,Abu Arish,45179Abu Arish,33256.1251,2493.9695,4454.3953,29.8114,4.4548,16.678,3.5978,99.9744,99.8114,99.6458,1,0,0.214,2,99.9225,98.5233,10.2673,15.9623,23.3494,25.6539,35.1893,39.1568,13.6971,18.2789,11.5654,12.9393,0.2329,0.0834,77.8028,-115.357,15600,28.9568,99.8179,99.9994,99.7263,100,14942.989,5763.0381,41.8472,17.3293,1531.7763,36.311,39.2208,0.0533,99.573,99.6084,20.7397,29.8114,4.4548,99.9564,33116970,18533,75.7465,90.7935,1803,4,10216.8182,5997.1412,2631.5682,0.1288,1893.5615,0.0576,5.6939,52.9558,0.0023,0.1592
9/10/2023,Najran,45179Najran,94307.5535,7590.696,14863.974,27.8088,4.4862,12.9574,3.5849,99.9773,99.8194,99.7884,0,0,0.1253,8,99.9378,98.1247,10.126,15.8584,24.9938,26.9392,35.6743,37.3866,14.4316,16.4042,12.1748,11.6533,0.2236,0.0967,84.0296,-116.0336,34670,29.4517,99.8242,99.992,99.6552,99.9999,45370.0736,14244.6475,44.8046,15.1045,5467.9334,27.3164,31.7036,0.0367,99.731,99.6709,21.1334,27.8088,4.4862,99.969,107507080,36067,83.0942,89.4315,6318,40,28527.3143,20140.9867,9542.662,0.1334,7398.6696,0.0692,7.8453,67.7039,0.0014,0.0718
9/10/2023,Jizan,45179Jizan,50107.8163,4538.0451,9369.9786,25.8068,4.34,12.7409,3.4536,99.9685,99.8199,99.7339,0,0,0.1155,16,99.8599,97.8605,9.4553,14.8879,18.8441,32.015,37.1388,30.8462,13.0353,19.335,11.1782,13.1956,0.2639,0.0909,70.5326,-115.9255,225235,25.758,99.8422,99.9791,99.301,99.9995,24862.4616,9995.8153,46.2103,19.9486,3663.7734,27.1539,28.3784,0.025,99.3343,99.7221,20.398,25.8068,4.34,99.6993,70470740,23465,71.5148,67.435,4660,126,15171.8427,11354.4597,6147.2625,0.1633,3598.2028,0.0542,7.1809,55.2153,0.0017,0.1102
9/10/2023,Southern Remote,45179Southern Remote,524596.1273,40518.4899,74717.9379,33.5802,4.2201,12.9585,3.1734,99.961,99.6791,99.6444,93,0,0.1108,65,99.7723,84.8798,10.1989,16.5158,23.7081,24.8171,34.6532,40.5298,12.9182,21.4418,11.2314,14.8287,0.3009,0.065,56.4069,-116.6526,1607295,29.4056,99.3358,99.9548,98.6278,99.9989,241815.569,98868.5435,42.9298,18.8466,22889.035,27.43,31.1852,0.0333,99.5236,99.79,16.8056,33.5802,4.2201,99.6493,447926395,167652,54.0877,82.0803,122366,3211,151811.3159,110520.2762,34578.5808,0.1234,11072.5509,0.0168,2.1107,117.4319,0.0004,0.0224
9/10/2023,Western Region,45179Western Region,129089.6161,10560.2979,23195.8116,31.7255,3.6529,10.174,2.6506,99.9658,99.5383,99.4526,4,2284,0.1601,1595,99.9299,25.9591,10.3891,16.6169,23.1118,25.2627,34.4255,40.3118,12.9897,24.1109,11.7459,16.79,0.2773,0.0357,48.7495,-118.1413,536870,28.7343,94.0438,97.4063,92.3321,99.8708,21682.444,4754.4015,15.6429,3.683,2838.3437,18.8306,21.2526,0.031,99.313,99.8384,12.7451,31.7255,3.6529,99.5246,109610460,64591,46.41,81.572,303342,59445,13504.4698,10179.1432,3533.5055,0.0272,244.6605,0.0012,0.1895,0.1256,0,0.0001
9/10/2023,Remote Jizan,45179Remote Jizan,228208.1045,17369.9734,32089.3234,34.451,4.2527,12.0696,3.1311,99.9591,99.6655,99.617,6,0,0.1152,36,99.9095,84.168,10.0543,16.7211,23.7551,24.3089,33.9895,41.7016,13.0902,21.3431,11.564,14.6716,0.3205,0.0557,57.3612,-116.0751,989835,36.6123,99.2219,99.9432,98.5151,99.9982,104468.733,46708.9825,42.6339,20.4677,9530.0903,26.3586,31.3114,0.0385,99.5921,99.8308,17.7713,34.451,4.2527,99.3632,150351175,73289,55.0711,83.6644,64118,533,65690.6954,47650.6632,14133.578,0.1306,2335.0353,0.0083,1.0232,33.95,0.0002,0.0149
9/10/2023,Remote Najran,45179Remote Najran,79545.114,6211.8857,10814.966,34.639,4.5434,11.6243,3.3368,99.9501,99.6529,99.68,87,0,0.1008,13,99.9478,83.0542,10.3505,16.83,24.1688,23.2958,34.6058,42.0984,13.2257,19.9213,11.4611,14.5511,0.2181,0.0663,49.4909,-117.5143,55655,27.8833,99.2478,99.9834,98.5037,99.9993,37621.6145,11970.1703,44.0478,15.0483,3354.5115,23.3283,25.7027,0.0308,99.7944,99.7871,16.1657,34.639,4.5434,99.9214,70625070,20021,47.5335,75.7975,13592,33,22913.9775,18026.5119,5062.2368,0.0975,3083.5416,0.0292,3.8765,12.6813,0.0002,0.0159
9/10/2023,Remote Aseer,45179Remote Aseer,216842.9089,16936.6309,31813.6485,32.3566,4.0815,14.6862,3.1603,99.9663,99.7016,99.6604,0,0,0.1095,16,99.3083,87.6564,10.2741,16.1778,23.4937,25.9138,35.3839,38.7023,12.6189,22.0523,10.7819,15.0836,0.3084,0.0746,57.7633,-116.7736,561805,25.0493,99.4621,99.9586,98.762,99.9994,99725.2216,40189.3907,42.8312,18.5339,10004.4333,30.7587,33.135,0.0291,99.3918,99.754,16.3548,32.3566,4.0815,99.7578,226950150,74342,55.3316,82.2616,44656,2645,63206.643,44843.1011,15382.766,0.1249,5653.9739,0.0213,2.6074,70.8007,0.0006,0.0327
9/10/2023,Southern City,45179Southern City,451110.8804,37061.6417,73103.7611,27.7734,4.4729,15.2078,3.6428,99.9714,99.8184,99.7304,2,33730,0.1436,68,99.8917,98.5646,9.7854,15.4845,24.328,28.2378,36.3945,35.3677,13.5753,18.1469,11.2678,12.5824,0.2577,0.1136,78.8963,-115.5494,504840,24.0715,99.8469,99.9744,99.566,99.9758,221274.7009,79823.5497,45.6824,17.6949,29142.9961,31.0964,33.144,0.0418,99.4434,99.6035,19.3355,27.7734,4.4729,99.9223,617722470,212976,78.1464,81.9568,31617,3538,142078.3622,94779.234,51106.6605,0.1527,36736.5201,0.0759,8.1436,568.0815,0.0021,0.1259
