Date,Time,LTE Cell Group,Integrity,VOLTE Traffic Erl,Connected User Avg (VoIP),DL Active User Avg (VoIP),DL Throughput QCI.1 Mbps (VoIP),SRVCC Success Rate Overall,SRVCC Success Rate Overall (E2G),SRVCC Success Rate Overall (E2W),Mobily VoLTE Call Drop%,E-RAB Setup Success Rate QCI.1 (VoIP),UL Mute call %(%),DL Mute call %(%),UL Packet Loss Rate QCI.1 (VoIP),UL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.1 (VoIP),E2E VQI Avg (VoIP),DL VQI Avg (VoIP),UL VQI Avg (VoIP),QCI1 DL IBLER(%),QCI1 UL IBLER(%),UEs in the DRX sleep state Ratio,SRVCC Failuers,L.E-RAB.AbnormRel.MMETot.VoIP,L.E-RAB.AbnormRel.MME.HOOut.QCI.1,L.E-RAB.AbnormRel.MME.EUtranGen.VoIP,L.Voice.DL.PktNum.AMRNB.12.2,L.Voice.DL.PktNum.AMRWB.23.85,L.E-RAB.FailEst.NoRadioRes.DLThrpLic.VoIP,L.E-RAB.FailEst.NoRadioRes.ULThrpLic.VoIP,L.E-RAB.FailEst.NoRadioRes.ThrpLic.VoIP,L.Cell.Unavail.Dur.Sys(s),Cell.Availability(%),Availability Duration(s),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s)
2023-11-14,00:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,581.938,651.0746,241.4739,0.513,97.188,94.0476,97.732,0.2695,99.9213,0.1061,0.0922,0.0614,0.0063,0.0126,0.0205,3.5596,3.5883,3.6015,2.4466,3.8389,71.3715,16,73,7,42,29896817,12840165,0,0,0,3415,99.9506,6662435,99.9964,99.1259,100,5020.1314,1980.9093,44.1249,18.6953,9957.5266,28.512,31.4326,0.0427,99.7309,99.6841,21.8971,34.5931,4.7352,99.9506,6662435
2023-11-14,00:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,435.925,478.3853,173.4934,0.5013,98.1567,100,97.7528,0.1886,99.9839,0.0538,0.0609,0.0454,0.0032,0.0146,0.0214,3.5524,3.5839,3.5932,2.0416,3.7539,72.3462,4,23,2,14,24854012,10268283,0,0,0,97210,98.5552,6501590,100,99.3824,100,3928.8343,1189.8538,45.9694,14.9485,8700.3471,28.4998,30.2109,0.0368,99.7329,99.6674,20.2649,32.6614,4.8552,98.5552,6501590
2023-11-14,00:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,47.7326,52.2752,20.2665,0.4939,92.1053,90.9091,93.75,0.467,100,0.0576,0.0546,0.0556,0.0353,0.1474,0.0267,3.4796,3.5061,3.5402,1.8969,3.5799,68.0051,3,7,0,6,3090902,752801,0,0,0,0,100,1400400,100,99.2765,100,907.5618,359.3912,56.0047,23.8131,1448.9208,24.0311,29.6225,0.0555,99.7762,99.7894,18.1627,35.3691,5.6182,100,1400400
2023-11-14,00:00,Jazan Province,1,1188.0532,1325.2263,477.6278,0.5116,97.8012,95.8333,98.1424,0.295,99.9486,0.0911,0.0866,0.0593,0.0066,0.0112,0.026,3.5652,3.5938,3.5979,2.4761,3.5816,71.9043,25,142,13,82,62104799,28475092,0,0,0,9545,99.9331,13751905,99.9173,99.0938,99.9993,9264.2742,3802.955,44.6873,19.6967,19594.6822,29.3464,31.8423,0.0379,99.4936,99.7168,20.8462,33.7573,4.6709,99.9331,13751905
2023-11-14,00:00,Aseer Province,1,1397.7045,1521.9693,554.2278,0.5198,96.6755,96.1538,96.7359,0.3556,99.9403,0.0416,0.0479,0.0465,0.0081,0.0218,0.0195,3.5732,3.6023,3.6105,2.0698,3.5206,72.6005,25,146,18,90,77559217,37703073,0,0,0,13710,99.9534,28390290,99.8631,99.406,99.9998,13333.3766,4768.4381,46.6424,17.9109,32522.2216,33.4394,33.7151,0.0373,99.6298,99.62,18.2067,31.2814,4.6893,99.9534,28390290
2023-11-14,00:00,Najran Province,1,485.1344,532.2016,194.3398,0.5006,97.2549,96.7213,97.4227,0.2175,99.9857,0.054,0.0603,0.0465,0.0073,0.0323,0.022,3.5453,3.5763,3.5881,2.0349,3.7341,71.8608,7,30,2,20,28044195,11065729,0,0,0,97210,98.811,7916390,100,99.3654,100,4854.878,1549.245,47.5037,16.2768,10177.4109,27.5671,30.0724,0.0392,99.7376,99.687,19.9027,33.0849,4.9578,98.811,7916390
2023-11-14,01:00,Southern Region,1,2111.1645,2364.5171,829.047,0.5165,97.434,95.8084,97.6684,0.3106,99.967,0.0715,0.0678,0.0552,0.008,0.0193,0.0189,3.5819,3.6116,3.6252,2.1974,3.4362,72.2123,34,221,30,117,108517951,54146379,0,0,0,293640,99.4736,53612760,99.3639,99.1485,99.9808,26257.3644,9572.7583,46.136,18.0603,59217.159,34.3833,34.5551,0.0316,99.5151,99.693,18.1115,33.0686,4.6916,99.4736,53612760
2023-11-14,01:00,Southern Remote,1,834.646,928.8463,324.9726,0.5209,98.0247,97.1154,98.1586,0.4062,99.9577,0.0752,0.0736,0.0579,0.0143,0.0283,0.0206,3.5937,3.6261,3.6288,2.4506,3.5294,70.277,16,119,23,62,37867113,20066251,0,0,0,20800,99.899,20402000,99.8783,98.3719,99.9995,12032.1532,4834.6083,46.791,20.1874,23534.6745,32.7376,33.8099,0.0227,99.6397,99.8061,16.1106,35.6126,4.5075,99.899,20402000
2023-11-14,01:00,Southern City,1,1217.893,1367.2125,482.3065,0.5149,97.2103,93.75,97.6076,0.2351,99.9781,0.0673,0.0623,0.0498,0.0031,0.0109,0.0174,3.5755,3.6033,3.6246,2.0564,3.3429,73.724,13,95,5,52,67347692,32750674,0,0,0,239550,99.2318,29453250,99.2474,99.5408,99.9715,12758.7089,4321.892,45.8906,16.6913,33074.0036,36.4299,35.7487,0.0339,99.438,99.6211,18.9308,30.7186,4.7642,99.2318,29453250
2023-11-14,01:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,218.2935,246.0316,86.5956,0.5283,97.7528,100,97.4026,0.1485,99.9621,0.0437,0.0553,0.0403,0.0139,0.0226,0.0237,3.5918,3.6229,3.6496,1.8633,3.3607,74.5387,2,33,0,4,12118046,6728008,0,0,0,45,99.9995,8913555,99.8851,99.577,100,2721.2679,969.9342,51.9071,19.8654,7480.9997,41.1232,36.9792,0.0307,98.4529,99.6441,15.4785,29.6776,4.6994,99.9995,8913555
