Date,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %,RRC Cong,CS Cong,PS Cong,CS Drops,PS Drops
9/11/2023,Sabya,45180Sabya,4640.9,885.3839,126.0176,201.4372,99.9942,99.8693,99.767,0.0981,0.2234,86.2857,3120.9731,-103.7818,22.3906,18.2607,41.0005,99.1325,85.7955,25,168987,2683,0,0,168987,67095,3.1052,3.7592,4.0941,5418,6943,84494,98.7299,248,0,63,166,2397
9/11/2023,Southern Region,45180Southern Region,54092.41,24085.6482,3308.9814,4721.1018,99.9901,99.9049,99.7332,0.1687,0.2814,95.8879,3427.8703,-103.8789,23.0278,18.2081,39.6707,98.9036,95.8603,5319,1878151,49675,0,0,1878151,2403292,3.13,3.7647,4.0877,5444,6994,1985380,99.0629,320,0,89,3505,84336
9/11/2023,USF8,45180USF8,8789,9490.8316,1416.006,1735.8737,99.931,99.6029,99.6272,0.493,0.4799,97.796,3064.3548,-105.8992,23.2971,18.834,39.353,99.4148,97.7451,1431,128706,8855,0,0,128706,231830,3.0903,3.6966,4.0925,5083,7156,2384408,97.0042,439,0,278,1143,26198
9/11/2023,Remote Najran,45180Remote Najran,2863.73,2850.4904,355.6244,435.9078,99.9875,99.934,99.8726,0.2639,0.2763,97.8605,3763.9806,-105.5752,23.8627,18.6803,39.8558,98.5276,97.8419,341,90803,4368,0,0,90803,302727,3.1252,3.766,4.0751,5442,7030,153061,99.4304,0,0,1,303,7912
9/11/2023,Southern Remote,45180Southern Remote,24920.31,16477.092,2074.001,2926.6435,99.9863,99.8889,99.6488,0.2303,0.3984,95.9365,3498.8927,-104.6455,23.148,18.3045,39.8115,98.8986,95.9103,5235,840472,29458,0,0,840472,1755485,3.1268,3.7637,4.0705,5615,7056,1671328,98.5875,72,0,23,2331,59043
9/11/2023,Southern City,45180Southern City,29147.95,7505.7459,1221.0988,1785.0818,99.9939,99.9344,99.852,0.1104,0.1622,80.4762,3274.5994,-102.8247,22.7863,18.0307,39.492,98.9129,80.0948,84,1037131,20203,0,0,1037131,644702,3.1328,3.7653,4.1103,5306,6927,291612,99.732,248,0,66,1174,25204
9/11/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45180Cluster=Aseer CL1,Rule Name=Opt Clusters",4449.28,1429.8834,215.1361,431.6372,99.9853,99.9272,99.7662,0.1689,0.2569,96.0421,3339.889,-103.3883,23.2089,17.7692,37.872,98.9888,95.9809,126,139109,4884,0,0,139109,219504,3.1531,3.7826,4.11,5255,6860,4680,99.9884,0,0,0,263,8230
9/11/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45180Cluster=Aseer CL2,Rule Name=Opt Clusters",8469.17,2318.098,377.0253,641.2709,99.9864,99.9266,99.8119,0.2338,0.3064,96.0238,3130.535,-99.8839,23.0187,17.6675,38.5966,97.9389,95.9937,128,271073,8063,0,0,271073,325173,3.1333,3.7527,4.0939,5349,6947,127469,99.0753,0,0,0,688,14033
9/11/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45180Cluster=Aseer CL3,Rule Name=Opt Clusters",3020.33,4995.528,561.8513,637.6107,99.9801,99.8551,99.5147,0.3477,0.3126,96.665,4417.1499,-105.1665,24.2044,18.8171,39.5159,99.1046,96.665,261,82810,3746,0,0,82810,327452,3.137,3.7788,4.0623,5359,6858,941813,97.8323,72,0,25,339,11104
9/11/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45180Cluster=Jizan CL1,Rule Name=Opt Clusters",13028.61,4125.8129,631.1531,865.0154,99.9941,99.8957,99.6282,0.1366,0.3595,95.4866,3066.7103,-104.2162,22.3353,18.0129,40.0401,99.1611,95.4717,2615,471772,10459,0,0,471772,432938,3.1241,3.7617,4.0838,5641,7041,398067,98.3498,0,0,0,738,16386
