Date,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
9/10/2023,Najran Province,45179Najran Province,1879.7391,71.5538,142.6647,6.2938,92.3323,15.325,185.9935,10.8025,14.4974,5.7736,0,71.8017,94.1834,10.26,10.2818,9.8343,99.9555,99.6571,99.7979,0.0018,0.7043,10.0273,22.2439,-108.9653,2.2104,2.057,4.4645,0.103,0.4409,100
9/10/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45179Cluster=Aseer CL1,Rule Name=Opt Clusters",4802.0975,199.2875,113.5405,5.7459,87.787,15.3172,535.8412,6.0299,8.6938,4.0677,0,76.4621,95.9763,10.0638,10.0921,9.6897,99.9337,99.4914,99.7825,0.007,0.6356,10.477,22.0975,-110.5572,2.2083,1.7855,5.6908,0.2405,0.9026,100
9/10/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45179Cluster=Aseer CL2,Rule Name=Opt Clusters",19390.2773,755.6695,82.3417,4.0974,101.3062,16.7262,1801.226,13.0769,15.0622,8.0012,750,66.3126,95.4231,10.625,10.677,9.9664,99.9228,99.3286,99.7908,0.0047,0.4476,12.0638,22.3554,-109.6687,2.1164,2.0371,5.4147,0.1742,0.7442,99.413
9/10/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45179Cluster=Aseer CL4,Rule Name=Opt Clusters",203.553,8.7238,95.1824,3.9777,70.879,13.9515,36.6783,7.1808,12.2814,4.6612,0,67.2978,88.5098,10.7635,10.7859,10.5937,99.9819,,99.6692,0.0095,0.7548,9.0057,21.9244,-109.7361,2.3362,2.1423,6.133,0.2031,0.6621,100
9/10/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45179Cluster=Najran CL1,Rule Name=Opt Clusters",1879.7391,71.5538,142.6647,6.2938,92.3323,15.325,185.9935,10.8025,14.4974,5.7736,0,71.8017,94.1834,10.26,10.2818,9.8343,99.9555,99.6571,99.7979,0.0018,0.7043,10.0273,22.2439,-108.9653,2.2104,2.057,4.4645,0.103,0.4409,100
9/10/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45179Cluster=Aseer CL3,Rule Name=Opt Clusters",750.712,33.5631,174.0352,24.7675,108.2992,20.0742,45.0642,14.5433,15.4699,6.1937,0,88.14,95.3616,11.1911,11.1967,11.0308,99.9676,,99.7721,0.0035,0.2345,10.9177,23.8781,-112.4167,2.0644,2.4884,3.3903,0.0521,0.1719,100
9/10/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45179Cluster=Jizan CL2,Rule Name=Opt Clusters",830.2986,24.0512,103.0399,6.7707,86.9704,12.7904,102.2525,11.3219,13.5991,6.3411,15300,72.0773,87.1983,10.7942,10.8098,10.6384,99.9677,,99.8008,0.0043,0.3862,10.2465,22.1893,-109.8264,2.1225,1.8901,5.22,0.1998,1.0887,97.0486
9/11/2023,Abha,45180Abha,4823.2654,214.4854,114.8464,6.2368,88.4903,15.6247,548.7656,6.0076,8.8028,4.0516,0,74.0603,96.1505,10.0751,10.091,9.8742,99.9382,99.4577,99.7609,0.0088,0.7561,10.4739,22.1614,-110.4453,2.199,1.8671,5.573,0.2441,0.9167,100
9/11/2023,Khamis Mushait,45180Khamis Mushait,15529.2009,654.1003,88.3541,4.6508,99.0217,17.0701,1504.9372,11.9782,14.4178,7.5265,150,64.447,95.7324,10.4933,10.5461,9.816,99.9161,99.3395,99.7837,0.0062,0.4483,11.821,22.4031,-109.73,2.1339,2.0823,5.2486,0.1972,0.7576,99.9574
9/11/2023,Jizan,45180Jizan,5286.3022,179.8753,78.2308,2.4547,81.9877,12.9148,648.5677,15.684,20.6406,11.35,8895,56.172,92.7891,10.5849,10.6123,10.2554,99.9376,99.5675,99.6817,0.0051,1.0247,11.8878,21.1397,-106.6515,2.281,2.0993,6.3516,0.2692,1.436,99.688
