Region,Week,eNodeB Name,Sector id,DL_PRB_Utilization,DL PRB Utilization Range,Users,DL User Thrpt
South Region,WK46_2023,S6140-R4GF-HU-01-DYR,1,98.22,Utiliz > 80%,125.87,3.51
South Region,WK46_2023,S6030-RGUF-HU-HW-DMD,0,98.17,Utiliz > 80%,201.92,6.11
South Region,WK46_2023,S1619-RGUF-HU-01-MHL,0,98.14,Utiliz > 80%,122.91,6.47
South Region,WK46_2023,S6029-RGUF-HU-01-DMD,2,98.13,Utiliz > 80%,45.86,1.78
South Region,WK46_2023,S6167-RGFX-HU-VP-SUB,1,98.13,Utiliz > 80%,31.94,2.44
South Region,WK46_2023,S1790-RULX-HU-01-SUB,2,98.1,Utiliz > 80%,167.52,4.85
South Region,WK46_2023,S6146-RGUF-HU-01-SUB,0,98.09,Utiliz > 80%,233.84,4.46
South Region,WK46_2023,S6337-RGUL-HU-01-HBN,1,98.09,Utiliz > 80%,194.44,5.45
South Region,WK46_2023,S4933-RGUN-HU-01-BHH,1,98.07,Utiliz > 80%,142.86,4.49
South Region,WK46_2023,S6194-RGUF-HU-01-SAM,0,98.03,Utiliz > 80%,165.34,6.31
South Region,WK46_2023,S3119-RGFX-HU-01-BHH,1,97.99,Utiliz > 80%,44.84,6.33
South Region,WK46_2023,S6130-RGUF-HU-01-AHM,0,97.98,Utiliz > 80%,91.19,3.19
South Region,WK46_2023,S6050-RUFX-HU-HW-ABA,0,97.95,Utiliz > 80%,113.94,2.02
South Region,WK46_2023,S6347-RGUL-HU-01-SUB,0,97.95,Utiliz > 80%,187.79,5.98
South Region,WK46_2023,S6298-RGUF-HU-HW-DRB,2,97.95,Utiliz > 80%,57.8,1.6
South Region,WK46_2023,S1919-R4GF-HU-01-MJR,0,97.87,Utiliz > 80%,15.84,13.46
South Region,WK46_2023,S1780-RGUF-HU-01-BSH,2,97.87,Utiliz > 80%,236.76,4.21
South Region,WK46_2023,S1937-RGUL-HU-01-BHH,0,97.85,Utiliz > 80%,140.07,5.12
South Region,WK46_2023,S6229-RALL-HU-01-SUB,0,97.82,Utiliz > 80%,318.09,4.02
South Region,WK46_2023,S6086-RGUF-HU-01-DMD,0,97.82,Utiliz > 80%,309.55,6.29
South Region,WK46_2023,S6378-R4GF-HU-HW-KBH,0,97.8,Utiliz > 80%,46.56,8.91
South Region,WK46_2023,S1719-RGUF-HU-01-AHM,1,97.79,Utiliz > 80%,105.61,5.14
South Region,WK46_2023,S1660-RUFX-HU-01-SAM,0,97.75,Utiliz > 80%,157.33,0.87
South Region,WK46_2023,S6390-RGLX-HU-HW-SHW,1,97.75,Utiliz > 80%,162.9,8.52
South Region,WK46_2023,S6151-RGUF-HU-HW-SUB,2,97.69,Utiliz > 80%,254.57,2.55
South Region,WK46_2023,S6084-RGUF-HU-01-FRS,2,97.59,Utiliz > 80%,276.87,7.17
