Date,Time,LTE Cell Group,Integrity,DL_Traffic_Volum_GB,UL_Traffic_Volume_GB,Avg_Users,DL_Throughput_MB/sec,UL_Throughput_MB/sec,DL_User_Throughput_MB/Sec,UL_User_Throughput_MB/sec,RRC Success Rate (Service),RRC Success Rate (Signaling),ERAB_Success_Rate,Failures Thrp License,Failures User License,Service Drop-Rate,ERAB_Abnrml_TNL,CSFB Success Rate%,Flash CSFB Prec,Avg_CQI,DL_Avg_MCS,UL_Avg_MCS,QPSK Ratio(%),16QAM Ratio(%),64QAM Ratio(%),DL_Retrans_Rate,UL_Retrans_Rate,DL IBLER(%),UL IBLER(%),UL_MAC_BLER,DL_MAC_BLER,RACH_Success_Rate,Avg_Interference(dBm),System_Outage(s),DL_PRB_Utilization,Handover Execution Success Rate (all)(%),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s)
2023-11-14,00:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,10595.7429,788.7824,29820.3151,34.5931,4.7352,12.5995,3.4947,99.9537,99.4622,99.6342,0,0,0.1246,0,99.9574,93.7191,10.0101,16.5704,23.8937,23.7148,35.3805,40.9047,13.6237,19.3133,12.0376,13.9567,0.2223,0.0631,67.9798,-116.3167,3415,40.8395,99.5566,99.9964,99.1259,100,5020.1314,1980.9093,44.1249,18.6953,9957.5266,28.512,31.4326,0.0427,99.7309,99.6841,21.8971,34.5931,4.7352,99.9506,6662435
2023-11-14,00:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,7959.6607,599.4478,23515.4956,32.6614,4.8552,13.1595,3.8383,99.9463,99.7756,99.7701,0,0,0.1014,0,99.9593,96.5587,10.1399,16.3226,24.8858,24.9201,35.6214,39.4585,14.3181,16.7684,12.304,12.2645,0.2017,0.079,72.1614,-116.4828,97210,34.3657,99.6432,100,99.3824,100,3928.8343,1189.8538,45.9694,14.9485,8700.3471,28.4998,30.2109,0.0368,99.7329,99.6674,20.2649,32.6614,4.8552,98.5552,6501590
2023-11-14,00:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1509.2172,121.4378,3499.1782,35.3691,5.6182,11.3052,3.9109,99.9571,99.5965,99.7092,0,0,0.1131,0,100,68.5279,9.676,16.4875,24.1572,24.3537,35.2453,40.401,13.3577,17.3946,11.7546,13.5376,0.1824,0.0737,43.4072,-117.4447,0,28.4163,99.5687,100,99.2765,100,907.5618,359.3912,56.0047,23.8131,1448.9208,24.0311,29.6225,0.0555,99.7762,99.7894,18.1627,35.3691,5.6182,100,1400400
2023-11-14,00:00,Jazan Province,1,19307.5376,1481.0989,56690.3443,33.7573,4.6709,12.8837,3.4961,99.9545,99.5343,99.654,0,0,0.1077,0,99.9515,91.3505,9.8642,16.3688,23.1642,24.8871,35.5231,39.5899,13.3647,19.7032,11.7788,13.9964,0.2642,0.0646,70.1045,-116.0321,9545,36.873,99.5741,99.9173,99.0938,99.9993,9264.2742,3802.955,44.6873,19.6967,19594.6822,29.3464,31.8423,0.0379,99.4936,99.7168,20.8462,33.7573,4.6709,99.9331,13751905
2023-11-14,00:00,Aseer Province,1,26623.151,2087.9369,79937.6421,31.2814,4.6893,16.2326,3.782,99.9718,99.7756,99.7103,0,0,0.1127,4,99.8515,96.1596,9.7705,15.8422,24.429,26.2943,37.0933,36.6124,13.1085,18.7363,11.0538,13.2809,0.2536,0.0961,74.4979,-115.9832,13710,27.0184,99.7395,99.8631,99.406,99.9998,13333.3766,4768.4381,46.6424,17.9109,32522.2216,33.4394,33.7151,0.0373,99.6298,99.62,18.2067,31.2814,4.6893,99.9534,28390290
2023-11-14,00:00,Najran Province,1,9518.1221,723.5806,27145.4039,33.0849,4.9578,12.8229,3.8396,99.9476,99.7543,99.762,0,0,0.1029,0,99.9626,93.7173,10.0644,16.353,24.7611,24.8377,35.5374,39.6249,14.1546,16.942,12.2033,12.5056,0.2,0.0779,67.0427,-116.6457,97210,33.3796,99.6237,100,99.3654,100,4854.878,1549.245,47.5037,16.2768,10177.4109,27.5671,30.0724,0.0392,99.7376,99.687,19.9027,33.0849,4.9578,98.811,7916390
2023-11-14,01:00,Southern Region,1,53004.3721,3940.3724,154114.2133,33.0686,4.6916,16.3907,3.7459,99.9614,99.632,99.6897,0,5928,0.0905,6,99.9153,92.4384,10.0426,16.2544,24.2392,24.3876,35.9663,39.6461,12.8149,17.8315,11.0199,12.8107,0.2311,0.0811,69.9118,-116.3763,293640,26.5767,99.6279,99.3639,99.1485,99.9808,26257.3644,9572.7583,46.136,18.0603,59217.159,34.3833,34.5551,0.0316,99.5151,99.693,18.1115,33.0686,4.6916,99.4736,53612760
2023-11-14,01:00,Southern Remote,1,23948.6693,1749.6478,66593.062,35.6126,4.5075,15.4839,3.5115,99.9535,99.504,99.717,0,0,0.0708,0,99.8869,82.7095,10.2127,16.6564,24.2779,23.1758,35.4101,41.4141,12.4171,19.2326,10.9266,13.8976,0.2334,0.0608,60.3926,-117.0664,20800,28.0387,99.2276,99.8783,98.3719,99.9995,12032.1532,4834.6083,46.791,20.1874,23534.6745,32.7376,33.8099,0.0227,99.6397,99.8061,16.1106,35.6126,4.5075,99.899,20402000
2023-11-14,01:00,Southern City,1,25893.0566,1963.6837,80386.1839,30.7186,4.7642,16.9551,3.9378,99.9691,99.8019,99.6662,0,5928,0.1004,6,99.9287,99.4774,9.7951,15.8625,24.3279,25.786,36.9614,37.2526,13.355,17.2537,11.2949,12.311,0.2342,0.0978,80.9281,-115.898,239550,26.242,99.824,99.2474,99.5408,99.9715,12758.7089,4321.892,45.8906,16.6913,33074.0036,36.4299,35.7487,0.0339,99.438,99.6211,18.9308,30.7186,4.7642,99.2318,29453250
2023-11-14,01:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,4882.5287,401.654,16258.8329,29.6776,4.6994,21.1234,4.1397,99.9759,99.7211,99.7725,0,0,0.0963,0,99.7746,98.3471,9.7553,15.3164,24.8775,28.1052,37.6203,34.2745,11.8885,18.2111,9.6352,13.0421,0.2518,0.1272,77.0143,-116.2198,45,16.9441,99.8744,99.8851,99.577,100,2721.2679,969.9342,51.9071,19.8654,7480.9997,41.1232,36.9792,0.0307,98.4529,99.6441,15.4785,29.6776,4.6994,99.9995,8913555
