"access.to.weapons","neighbouring.country.relations","organised.conflict..internal.","political.instability","political.terror","violent.crime","violent.demonstrations","log.gdp.per.capita","social.support","healthy.life.expectancy.at.birth","freedom.to.make.life.choices","generosity","perceptions.of.corruption","positive.affect","negative.affect","armed.services.personnel","deaths.from.conflict..external.","deaths.from.conflict..internal.","displaced.people","domestic...international.conflict","external.conflicts.fought","homicides","internal.conflicts.fought","jailed.population","militarisation","military.expenditure","nuclear.and.heavy.weapons","perceived.criminality.in.society","safety...security","security.officers...police","terrorist.activity","un.peacekeeping.funding","weapons.exports","weapons.imports","purchasing.power.index","safety.index","health.care.index","cost.of.living.index","property.price.to.income.ratio","traffic.commute.time.index","pollution.index","climate.index","cumulative_index"
"2","2","2","2.75","2","3","1",0.730024639211545,0.854202401372213,0.656121343445288,0.625,0.210112359550562,0.831533477321814,0.774557165861514,0.357142857142857,0.06775,0,0,0,0.177142857142857,0,0.523724489795918,0,0.267074142971034,0.106404608607252,0.117047308319739,0.10975,0.669313524590164,0.560099132589839,0.843071786310517,0.331987075928918,0,0.000249999999999972,0.00724999999999998,0.212086659064994,0.513774104683196,0.733333333333333,0.326265389876881,0.048024012006003,0.674,0.68739054290718,0.851704611792177,1.4599570815636
"1","1","1","1","1.5","2","1",0.844948961633228,0.927958833619211,0.821668472372698,0.93421052631579,0.68314606741573,0.346652267818575,0.748792270531401,0.231601731601732,0.09625,0,0,0,0.0452747252747253,0.28125,0.133928571428571,0,0.2208344406059,0.243985089800068,0.352773246329527,0.105,0.40343237704918,0.173895084675754,0.233722871452421,0,0.0647915620291311,0.14825,0.794,0.600912200684151,0.621212121212121,0.768888888888889,0.75170998632011,0.023511755877939,0.508,0.225043782837128,0.851704611792177,1.88793997064952
"2","1","1","1","1.5","1.5","1",0.869588173178458,0.927958833619211,0.810400866738895,0.909539473684211,0.507865168539326,0.781857451403888,0.723027375201288,0.108225108225108,0.11725,0,0,0,0.0202197802197802,0.125,0.0573979591836734,0,0.151474887058198,0.208742799051169,0.120717781402936,0.04025,0.202356557377049,0.129698471705907,0.32943795214246,0.221055465805062,0.0668006027122049,0.214,0.31475,0.544469783352338,0.573002754820937,0.82962962962963,0.533515731874145,0.0225112556278139,0.226,0.274080560420315,0.851704611792177,1.87057414664017
"2","1","1","1.25","1.5","2","1",0.851812741992256,0.897084048027444,0.785265438786566,0.802631578947368,0.319101123595506,0.767818574514039,0.73268921095008,0.283549783549784,0.1215,0,0,0,0.025054945054945,0.15625,0.303571428571429,0,0.140845070422535,0.244662826160624,0.171696574225122,0.036,0.316342213114754,0.228831061544816,0.398441847523651,0.134356488960689,0.152184831742843,0.39025,0.16175,0.46351197263398,0.621212121212121,0.814814814814815,0.642270861833105,0.0205102551275638,0.196,0.672504378283713,0.851704611792177,1.62606861375937
"3","1","1","1.625","2","3","1",0.687258007743752,0.74442538593482,0.610184182015168,0.450657894736842,0.178651685393258,0.962203023758099,0.397745571658615,0.281385281385281,0.16025,0,0,0.0025,0.0404395604395605,0.25,0.235204081632653,0,0.212330587297369,0.271433412402575,0.210440456769984,0.086,0.444928278688525,0.343246592317224,0.458542014468559,0.134356488960689,0.362882973380211,0.03125,0.14525,0.179019384264538,0.610192837465565,0.49037037037037,0.227770177838577,0.040520260130065,0.292,0.761821366024518,0.851704611792177,0.951386294146908
"2","1.5","1","1","1","1","1",0.844068989792327,0.933104631217839,0.845937161430119,0.90625,0.701123595505618,0.452483801295896,0.826086956521739,0.264069264069264,0.073,0,0,0,0.0734065934065934,0.18125,0.210459183673469,0,0.183098591549296,0.20704845814978,0.224306688417618,0.091,0.20030737704918,0.0855018587360595,0.164162493043962,0.14297253634895,0.0647915620291311,0.24425,0.165,0.612314709236032,0.632231404958678,0.663703703703704,0.55608755129959,0.0135067533766883,0.574,0.263572679509632,0.851704611792177,1.89188379459543
"3","1","1","1","1.5","2","1.25",0.725096796902499,0.773584905660377,0.756663055254605,0.603618421052632,0.592134831460674,0.793736501079914,0.761674718196457,0.391774891774892,0.13,0,0,5e-04,0,0,0.34515306122449,0,0.609885729471167,0.332429684852592,0.292414355628059,0.07275,0.598872950819672,0.328376703841388,0.175292153589316,0.347334410339257,0.431190356604721,0.04025,0.44625,0.271949828962372,0.403581267217631,0.475555555555555,0.3406292749658,0.0360180090045022,0.598,0.808231173380035,0.851704611792177,1.32550349975693
"4","2","4","2","4.5","4","1",0.620380147835269,0.874785591766724,0.703791982665222,0.758223684210526,0.366292134831461,0.886609071274298,0.911433172302737,0.404761904761905,0.22625,0,0.34125,0.779,0.493626373626374,0,1,0.10525,0.321817698644698,0.290748898678414,0.420880913539967,0.05175,0.639344262295082,0.915737298636927,0.34613244296049,0.794022617124394,0.0796082370668006,0,0.07725,0.146522234891676,0.53030303030303,0.914074074074074,0.282489740082079,0.0610305152576288,0.646,0.700525394045534,0.851704611792177,1.77608079392659
"4","2","1","2.25","1","2","1",0.730200633579726,0.638078902229846,0.699458288190683,0.287828947368421,0.102247191011236,0.947084233261339,0.497584541062802,0.354978354978355,0.161,0,0,0.1185,0.113846153846154,0.15625,0.123724489795918,0,0.168216848259368,0.259911894273128,0.206769983686786,0.0435,0.231813524590164,0.239157372986369,0.534501947690595,0,0.051481667503767,0,0.12,0.27023945267959,0.734159779614325,0.56,0.344733242134063,0.0470235117558779,0.506,0.336252189141856,0.851704611792177,1.48071563742791
"1","1","1","1","1","1","1",0.862548398451249,0.938250428816466,0.799133261105092,0.930921052631579,0.531460674157303,0.151187904967603,0.837359098228664,0.220779220779221,0.12925,0,0,0,0.0351648351648352,0.21875,0.0931122448979592,0,0.0863672601647621,0.115554049474754,0.222267536704731,0.043,0.196977459016393,0.0462618752581578,0.159988870339455,0.11470113085622,0.074585635359116,0.07125,0.23325,0.547320410490308,0.556473829201102,0.927407407407407,0.720246238030096,0.0195097548774387,0.386,0.19877408056042,0.851704611792177,1.83624056576197
